,region,tenure,age,marital,address,income,ed,employ,retire,gender,reside,custcat
0,2,13,44,1,9,64,4,5,0,0,2,4
1,3,11,33,1,7,136,5,5,0,0,6,4
2,3,68,52,1,24,116,1,29,0,1,2,3
3,2,33,33,0,12,33,2,0,0,1,1,1
4,2,23,30,1,9,30,1,2,0,0,4,3
5,2,41,39,0,17,78,2,16,0,1,1,1
6,3,45,22,1,2,19,2,4,0,1,5,1
7,2,38,35,0,5,76,2,10,0,0,3,1
8,3,45,59,1,7,166,4,31,0,0,5,3
9,1,68,41,1,21,72,1,22,0,0,3,2
10,2,5,33,0,10,125,4,5,0,1,1,4
11,3,7,35,0,14,80,2,15,0,1,1,1
12,1,41,38,1,8,37,2,9,0,1,3,1
13,2,57,54,1,30,115,4,23,0,1,3,3
14,2,9,46,0,3,25,1,8,0,1,2,1
15,1,29,38,1,12,75,5,1,0,0,4,4
16,3,60,57,0,38,162,2,30,0,0,1,3
17,3,34,48,0,3,49,2,6,0,1,3,1
18,2,1,24,0,3,20,1,3,0,0,1,1
19,1,26,29,1,3,77,4,2,0,0,4,4
20,3,6,30,0,7,16,3,1,0,1,1,1
21,1,68,52,1,17,120,1,24,0,0,2,3
22,3,53,33,0,10,101,5,4,0,1,2,4
23,3,55,48,1,19,67,1,25,0,0,3,3
24,3,14,43,1,18,36,1,5,0,0,5,1
25,2,1,21,0,0,33,2,0,0,1,3,1
26,2,42,40,0,7,37,2,8,0,1,1,1
27,3,25,33,1,11,31,1,5,0,0,4,3
28,1,9,21,1,1,17,2,2,0,1,3,1
29,2,13,33,1,9,19,4,0,0,1,2,3
30,1,56,37,1,6,36,1,13,0,1,2,1
31,1,71,53,1,27,155,5,12,0,0,2,2
32,1,35,50,1,26,140,2,21,0,1,4,3
33,1,11,27,1,8,55,5,0,0,0,3,4
34,2,60,46,1,13,163,3,24,0,0,2,2
35,3,20,35,1,11,52,4,0,0,0,2,2
36,2,54,60,0,38,211,4,25,0,0,1,3
37,1,44,57,1,1,186,2,17,0,0,2,3
38,1,11,41,1,0,39,1,1,0,1,2,1
39,2,72,57,0,34,22,2,35,1,1,1,3
40,3,10,41,0,7,30,1,7,0,0,1,1
41,2,15,28,0,0,29,2,4,0,1,1,1
42,2,27,28,1,4,23,2,8,0,0,5,3
43,1,9,36,1,14,62,4,10,0,0,6,1
44,1,64,43,1,20,76,4,20,0,1,4,2
45,1,65,41,1,3,74,4,16,0,0,2,2
46,1,49,51,1,27,63,4,19,0,0,5,2
47,3,47,41,1,0,36,4,8,0,0,2,4
48,3,9,34,1,9,33,2,8,0,1,4,1
49,1,5,36,0,14,29,2,9,0,1,1,1
50,2,30,34,1,4,27,2,1,0,0,5,3
51,1,56,52,1,28,49,2,12,0,0,4,3
52,3,10,22,0,0,24,4,0,0,0,1,1
53,1,7,26,1,3,26,2,2,0,0,5,1
54,1,52,27,0,6,47,3,5,0,0,2,4
55,2,36,45,1,1,94,2,18,0,1,5,1
56,3,27,34,0,8,21,3,4,0,1,1,4
57,1,58,62,1,36,27,1,0,0,0,2,2
58,2,41,52,0,27,30,2,2,0,1,1,1
59,2,47,40,1,16,127,4,12,0,1,4,4
60,2,55,39,1,15,137,2,20,0,1,2,3
61,2,56,50,1,1,80,2,24,0,1,4,3
62,3,35,55,0,24,30,2,2,0,0,1,1
63,2,69,51,1,11,438,4,23,0,1,2,4
64,2,44,39,0,16,79,2,16,0,0,1,1
65,3,36,47,1,16,63,1,23,0,0,2,3
66,3,28,51,1,22,40,3,10,0,1,6,1
67,1,72,67,1,44,51,1,34,1,0,2,3
68,1,16,27,0,5,37,3,5,0,0,4,4
69,3,3,43,0,19,61,4,11,0,1,1,1
70,1,40,57,1,15,22,2,9,0,0,2,3
71,3,16,39,0,6,44,4,3,0,1,1,1
72,1,20,42,0,4,17,3,5,0,0,1,1
73,2,48,43,0,13,110,5,15,0,1,3,2
74,2,64,48,1,13,91,2,24,0,0,2,3
75,1,8,46,0,3,46,2,8,0,0,1,1
76,1,40,38,1,10,85,3,12,0,0,2,1
77,2,38,71,0,27,10,2,12,1,0,1,3
78,1,67,68,0,28,244,1,47,0,1,1,3
79,1,26,42,0,0,80,4,15,0,1,1,1
80,3,41,34,1,15,83,5,1,0,1,2,4
81,2,2,31,0,2,21,1,6,0,0,1,1
82,3,20,48,1,29,24,2,3,0,0,2,3
83,2,31,53,0,2,351,3,31,0,1,1,3
84,2,45,52,1,4,169,4,29,0,1,4,3
85,2,33,27,1,7,46,2,7,0,0,4,1
86,1,10,26,0,6,34,3,3,0,0,1,1
87,2,62,54,1,2,50,4,3,0,0,2,4
88,2,4,35,0,16,161,5,6,0,1,1,4
89,1,42,47,1,17,212,4,17,0,0,2,2
90,3,27,51,1,3,80,5,11,0,0,3,4
91,2,38,42,0,1,30,4,7,0,1,1,2
92,3,52,61,1,3,53,5,1,0,1,2,4
93,3,35,33,0,9,73,5,4,0,1,1,4
94,3,3,20,1,1,17,2,0,0,1,4,1
95,2,17,33,0,9,23,5,3,0,0,1,1
96,1,55,53,1,21,34,1,8,0,0,2,3
97,3,43,36,1,5,107,1,19,0,1,3,1
98,2,47,25,1,5,21,1,1,0,1,2,3
99,3,65,58,0,30,83,2,16,0,1,1,3
100,1,13,20,0,1,17,3,0,0,0,5,4
101,3,64,25,1,4,76,3,2,0,1,6,2
102,2,12,24,0,2,19,1,0,0,0,1,1
103,1,29,32,1,0,49,4,3,0,1,3,4
104,2,23,47,0,21,173,3,22,0,1,1,3
105,2,14,35,0,4,47,3,10,0,1,1,1
106,1,35,61,0,23,41,2,11,0,0,1,3
107,3,26,39,0,8,105,3,13,0,1,1,1
108,1,13,54,0,2,31,4,2,0,0,1,1
109,2,69,40,1,13,41,2,17,0,0,3,3
110,3,61,50,1,30,102,4,9,0,1,3,4
111,2,45,22,1,2,36,4,0,0,1,5,2
112,2,3,37,0,13,24,1,3,0,1,1,1
113,2,53,22,0,1,25,4,0,0,0,2,4
114,1,59,42,0,1,68,2,21,0,1,1,3
115,1,13,34,0,11,20,3,0,0,1,1,1
116,3,31,31,0,4,48,1,15,0,0,1,1
117,1,40,29,1,6,40,2,8,0,1,5,1
118,1,48,55,0,15,79,1,25,0,0,1,3
119,3,3,31,0,1,28,1,0,0,0,1,1
120,2,51,48,0,12,64,2,22,0,1,1,3
121,3,33,41,0,15,37,2,11,0,0,1,1
122,3,14,47,1,7,48,1,13,0,0,2,3
123,1,17,42,1,6,131,5,6,0,0,3,4
124,3,19,29,1,9,18,2,2,0,0,3,1
125,2,58,36,0,10,38,2,14,0,1,1,2
126,3,22,23,0,3,37,2,4,0,1,3,3
127,2,29,31,1,1,60,4,6,0,0,5,4
128,3,14,22,1,2,13,3,0,0,1,4,1
129,2,70,64,1,18,98,1,31,0,1,2,3
130,1,62,52,1,2,195,1,23,0,0,2,3
131,2,7,35,1,0,47,1,14,0,0,5,3
132,1,56,47,1,19,65,2,22,0,0,3,3
133,1,50,50,1,22,150,5,5,0,1,4,2
134,2,57,39,0,6,106,5,8,0,0,1,2
135,3,2,40,0,19,51,4,14,0,1,1,1
136,2,40,38,0,17,96,4,0,0,1,1,4
137,2,6,43,0,4,33,5,7,0,0,2,1
138,3,23,25,1,6,38,2,1,0,1,3,1
139,3,11,32,0,6,125,4,5,0,0,1,1
140,1,29,37,1,13,145,5,0,0,1,4,4
141,1,42,44,1,2,99,2,21,0,0,3,3
142,1,20,34,1,2,22,4,0,0,1,3,4
143,2,72,60,1,21,31,1,38,1,0,2,3
144,1,2,36,0,3,25,1,6,0,1,1,1
145,3,46,25,0,5,57,5,0,0,1,2,2
146,2,39,51,1,21,41,5,20,0,0,6,4
147,3,24,25,1,1,20,3,1,0,1,2,3
148,3,59,43,1,4,101,2,22,0,1,5,2
149,1,65,37,0,8,56,2,15,0,0,1,3
150,2,50,27,1,5,22,2,5,0,1,3,3
151,1,57,37,0,11,108,4,9,0,1,1,2
152,3,61,48,0,14,115,4,20,0,1,1,2
153,3,34,54,0,31,53,4,22,0,0,1,3
154,3,38,53,0,13,242,4,12,0,0,1,1
155,1,3,24,1,2,20,2,3,0,1,5,1
156,2,4,47,0,5,123,4,11,0,0,1,1
157,2,15,35,0,0,34,1,12,0,0,1,1
158,1,25,29,1,8,31,4,3,0,1,5,4
159,3,21,44,0,25,47,1,12,0,1,2,1
160,3,50,37,1,11,48,3,8,0,1,2,2
161,2,65,64,1,22,13,2,5,1,1,3,3
162,2,59,52,1,18,78,1,25,0,0,2,2
163,3,29,26,0,7,34,1,7,0,1,2,1
164,1,60,46,0,17,81,5,9,0,1,1,2
165,1,71,45,1,14,86,2,25,0,0,2,2
166,3,38,27,1,0,26,4,2,0,0,4,4
167,3,16,34,1,5,51,2,8,0,1,5,1
168,3,7,31,0,10,59,3,10,0,0,1,1
169,1,59,53,0,21,112,4,16,0,0,1,3
170,2,22,56,1,14,57,4,28,0,0,2,3
171,1,18,48,1,20,41,1,2,0,1,2,1
172,2,64,46,1,19,168,2,26,0,1,2,4
173,2,7,33,0,4,29,4,4,0,1,3,1
174,3,65,58,0,13,167,2,14,0,1,2,3
175,3,7,24,0,5,29,2,3,0,0,3,1
176,1,64,55,0,28,104,1,26,0,1,1,3
177,3,42,22,1,0,46,4,0,0,0,2,4
178,3,33,26,0,5,46,4,1,0,1,3,1
179,1,3,33,0,8,51,4,0,0,1,1,4
180,2,69,42,1,11,65,2,18,0,0,2,3
181,2,9,33,0,1,48,2,13,0,0,2,1
182,3,22,34,1,1,46,3,1,0,0,4,1
183,2,53,63,1,15,43,2,18,0,0,2,3
184,3,71,53,0,30,110,1,34,0,0,1,3
185,3,24,26,0,2,32,3,2,0,0,3,1
186,3,12,22,1,1,18,3,0,0,1,2,1
187,1,25,39,1,1,26,4,0,0,0,4,4
188,3,63,28,1,9,34,2,10,0,1,6,2
189,1,33,54,1,18,57,4,4,0,1,3,3
190,2,57,54,1,20,21,2,0,0,1,3,3
191,3,13,33,0,7,38,3,10,0,1,1,1
192,1,13,21,0,2,19,3,0,0,1,1,4
193,1,71,39,0,2,40,3,17,0,0,1,2
194,3,18,69,1,11,58,3,8,0,0,2,1
195,1,17,51,1,10,95,2,15,0,1,2,3
196,2,22,43,0,4,114,2,19,0,0,1,1
197,2,65,65,1,27,128,3,24,0,0,2,2
198,3,7,40,0,9,33,4,2,0,1,1,1
199,3,72,66,0,30,460,4,41,0,1,1,3
200,1,35,43,0,12,224,3,17,0,0,1,4
201,1,24,39,0,2,122,4,12,0,0,3,4
202,1,64,24,1,0,23,3,1,0,1,5,3
203,2,63,63,1,19,191,3,27,0,0,2,2
204,1,38,31,1,7,187,4,6,0,0,3,2
205,2,29,37,1,9,119,3,12,0,0,3,3
206,1,72,69,1,49,44,2,44,1,1,2,3
207,1,10,27,1,2,15,3,2,0,1,2,3
208,3,72,64,0,41,674,4,37,0,1,1,3
209,3,52,23,1,4,33,4,0,0,1,2,2
210,3,13,55,0,3,250,2,35,0,1,2,3
211,1,3,33,0,6,64,4,0,0,0,2,1
212,3,39,24,1,2,26,2,4,0,0,4,3
213,2,28,29,0,4,23,3,5,0,0,2,4
214,2,46,42,0,9,52,4,7,0,0,3,2
215,2,62,46,0,27,200,3,9,0,1,1,2
216,2,23,33,1,7,28,1,4,0,0,2,3
217,3,23,25,1,5,19,5,0,0,0,3,4
218,2,72,61,1,39,76,3,21,0,0,2,2
219,3,56,60,0,26,70,2,20,0,0,1,3
220,1,8,30,0,1,34,2,9,0,1,1,1
221,3,3,36,0,7,34,5,3,0,1,3,1
222,3,37,37,0,7,172,3,13,0,0,1,1
223,3,37,53,1,13,48,1,10,0,0,3,3
224,2,6,30,0,9,45,2,2,0,1,1,1
225,1,48,47,0,9,72,3,13,0,0,5,4
226,2,43,43,1,3,55,4,18,0,1,4,2
227,2,21,29,0,7,40,4,2,0,1,4,1
228,3,6,33,0,12,26,3,0,0,0,1,1
229,2,69,51,0,18,96,1,33,0,0,4,3
230,1,22,33,0,9,54,1,10,0,0,1,1
231,1,28,40,1,1,47,2,9,0,1,3,3
232,1,71,47,1,23,142,1,30,0,0,2,3
233,2,7,37,0,5,57,4,1,0,0,1,1
234,1,63,29,0,10,20,3,7,0,0,2,2
235,2,53,57,0,25,37,1,7,0,0,1,3
236,2,50,52,1,17,36,4,16,0,0,4,4
237,2,39,31,1,6,24,4,2,0,0,2,4
238,3,16,19,0,0,21,2,0,0,1,1,1
239,3,43,51,1,15,186,3,25,0,0,2,3
240,3,44,31,0,12,30,1,7,0,1,3,1
241,2,72,66,1,43,96,2,16,0,1,2,3
242,3,61,76,0,39,15,1,29,1,0,1,3
243,3,43,21,1,1,25,1,4,0,0,4,3
244,3,24,39,0,11,49,3,7,0,1,1,1
245,3,64,45,0,4,38,2,7,0,1,1,2
246,2,64,38,0,0,29,2,2,0,0,2,1
247,1,24,26,0,7,55,2,7,0,1,1,1
248,3,33,55,1,21,64,3,10,0,1,3,3
249,2,33,33,1,12,42,4,7,0,1,5,4
250,1,2,40,0,9,134,4,2,0,0,1,1
251,2,42,48,1,22,82,1,21,0,1,5,1
252,1,52,54,1,5,153,5,10,0,0,2,2
253,1,45,66,0,43,144,2,13,0,1,1,2
254,3,3,25,0,4,22,4,0,0,0,2,1
255,2,37,53,1,16,35,1,16,0,1,4,1
256,2,28,57,0,33,82,4,22,0,1,1,3
257,3,40,63,1,9,61,1,22,0,0,2,3
258,2,37,33,0,1,102,2,12,0,0,1,1
259,3,7,27,0,5,31,3,4,0,0,5,1
260,1,71,56,0,23,170,1,30,0,1,1,3
261,2,19,46,0,11,26,2,0,0,1,1,1
262,2,61,40,0,15,85,3,15,0,1,1,2
263,3,70,53,1,16,183,2,35,0,1,2,3
264,2,60,55,1,13,67,1,18,0,1,2,1
265,3,48,45,1,5,42,1,11,0,1,2,1
266,1,8,63,1,1,31,1,9,0,0,2,3
267,2,58,58,1,10,96,2,17,0,0,4,3
268,1,16,24,1,5,24,3,2,0,0,5,4
269,2,33,33,0,4,53,2,14,0,1,1,1
270,2,39,25,0,4,18,1,0,0,1,1,1
271,1,62,51,0,10,43,4,19,0,0,2,3
272,1,50,34,0,10,104,3,9,0,0,1,4
273,2,48,55,0,31,26,1,1,0,0,1,1
274,3,31,62,0,5,56,2,26,0,1,1,1
275,2,65,33,1,9,49,2,6,0,0,5,3
276,1,36,58,0,34,80,1,21,0,1,1,3
277,1,61,46,0,5,318,3,18,0,1,1,3
278,2,48,42,0,21,35,4,5,0,0,1,2
279,3,35,45,0,17,29,1,6,0,0,1,1
280,1,51,28,0,8,43,5,1,0,0,5,4
281,2,49,51,1,5,80,5,3,0,0,2,4
282,1,35,39,1,11,30,3,2,0,1,3,3
283,1,58,70,0,2,9,3,24,1,1,1,3
284,1,23,35,1,0,23,2,1,0,0,5,1
285,2,26,39,1,15,58,4,9,0,1,2,4
286,1,38,37,1,1,52,1,20,0,1,4,1
287,1,35,66,1,44,14,3,12,1,1,2,3
288,2,37,50,0,9,110,2,21,0,1,1,3
289,2,48,43,1,1,60,2,12,0,0,2,3
290,3,13,43,1,1,123,3,21,0,0,5,1
291,1,72,63,1,29,15,5,31,1,0,2,3
292,1,30,27,0,4,47,4,2,0,1,2,2
293,1,24,43,0,14,138,4,11,0,1,1,1
294,2,25,51,1,20,359,3,29,0,0,2,3
295,2,50,52,0,30,214,3,22,0,0,1,3
296,2,28,40,0,7,64,1,19,0,0,1,1
297,3,34,51,0,8,50,4,14,0,0,1,1
298,1,48,32,0,2,88,3,9,0,0,1,4
299,2,42,36,1,8,86,2,15,0,1,2,1
300,3,67,65,1,30,17,1,29,1,1,2,3
301,1,17,41,1,7,25,2,17,0,0,3,3
302,1,29,38,1,19,46,2,6,0,0,2,3
303,3,66,61,0,26,361,1,40,0,1,1,3
304,2,1,21,0,1,18,3,0,0,1,1,1
305,1,28,33,1,3,14,4,1,0,0,3,4
306,1,15,35,1,5,34,3,8,0,0,2,1
307,2,12,64,0,13,9,2,6,1,1,1,3
308,3,48,49,0,18,39,2,5,0,1,1,2
309,2,59,25,1,4,18,3,2,0,0,4,4
310,3,8,26,1,1,25,4,1,0,0,2,1
311,1,45,52,0,15,46,5,8,0,1,1,2
312,1,25,39,1,8,94,4,11,0,1,4,4
313,1,21,44,1,4,26,3,2,0,0,2,3
314,2,17,68,1,1,335,1,35,0,1,3,3
315,2,41,45,0,14,25,3,6,0,0,1,2
316,1,13,45,1,3,99,3,8,0,1,2,3
317,2,1,26,1,3,30,2,7,0,1,5,1
318,3,3,31,1,4,35,2,2,0,1,3,1
319,1,23,27,1,2,51,5,1,0,1,2,4
320,3,26,42,0,20,49,3,13,0,0,1,1
321,1,37,51,1,15,54,1,15,0,0,3,3
322,3,5,30,0,3,46,4,7,0,0,1,1
323,1,32,27,1,3,91,4,1,0,1,3,4
324,3,12,22,0,1,23,4,0,0,0,2,1
325,1,72,54,1,6,345,1,32,0,0,2,3
326,3,3,25,1,2,45,4,0,0,1,2,1
327,1,54,43,0,12,53,2,12,0,0,1,1
328,2,26,26,0,2,14,2,6,0,1,1,1
329,3,14,36,0,13,67,5,4,0,1,1,4
330,3,22,51,0,27,49,3,1,0,0,1,1
331,3,65,47,1,18,37,1,15,0,1,4,3
332,3,26,45,0,18,33,1,9,0,0,1,1
333,1,20,37,0,5,46,3,10,0,1,4,1
334,2,67,60,1,32,93,1,21,0,0,4,2
335,1,34,55,0,2,48,2,11,0,0,1,1
336,1,37,54,1,35,183,2,22,0,0,3,3
337,2,22,23,1,3,16,1,5,0,0,4,3
338,2,5,69,0,0,11,2,14,1,0,1,1
339,1,28,31,1,0,42,4,5,0,1,3,3
340,1,20,41,1,7,67,4,14,0,1,4,4
341,3,72,41,0,20,181,4,12,0,0,1,3
342,2,30,43,0,18,53,4,6,0,0,1,1
343,3,71,52,0,17,172,2,32,0,0,1,3
344,2,56,44,0,24,87,2,19,0,0,1,3
345,1,8,29,1,2,21,5,0,0,0,2,4
346,2,32,65,0,6,9,2,30,1,1,1,3
347,2,46,47,0,22,144,3,22,0,1,2,2
348,3,60,45,1,23,117,4,11,0,0,3,3
349,2,42,32,1,0,59,4,4,0,1,6,2
350,3,71,60,1,39,508,4,35,0,0,4,4
351,2,72,63,1,40,222,2,43,1,1,2,3
352,3,45,66,0,11,87,3,25,1,1,1,3
353,3,5,31,0,4,34,1,9,0,0,1,1
354,2,17,38,1,19,18,4,0,0,1,4,4
355,2,70,55,0,12,65,3,24,0,0,1,1
356,3,57,57,1,19,130,3,27,0,1,2,3
357,1,20,33,0,13,44,3,8,0,1,1,1
358,1,72,52,1,21,63,1,24,0,0,3,3
359,3,32,50,0,28,57,4,20,0,0,1,4
360,3,22,57,1,7,264,1,35,0,1,2,3
361,2,6,24,0,2,28,1,5,0,0,2,1
362,3,32,23,1,2,26,3,1,0,1,6,1
363,1,38,33,0,3,38,4,0,0,0,1,4
364,1,53,35,0,15,59,3,5,0,1,1,2
365,3,37,76,0,38,117,4,21,0,1,1,4
366,1,47,35,1,13,70,4,9,0,1,2,3
367,3,69,59,0,37,104,2,13,0,0,1,3
368,3,63,56,0,17,71,3,18,0,1,1,3
369,1,61,34,1,0,70,3,7,0,1,3,2
370,1,56,38,1,8,56,4,10,0,0,2,2
371,3,40,57,1,18,68,1,23,0,0,2,3
372,2,61,45,0,21,80,2,13,0,1,1,3
373,2,16,26,0,7,21,4,1,0,0,6,4
374,2,7,43,0,4,69,3,5,0,1,1,1
375,3,20,31,1,10,39,2,3,0,1,2,1
376,2,35,38,0,7,90,2,18,0,0,4,4
377,1,60,37,1,12,64,5,1,0,1,2,4
378,2,47,25,0,2,28,2,6,0,0,1,4
379,2,33,28,1,3,24,2,0,0,1,6,1
380,3,12,34,0,2,44,2,7,0,0,1,1
381,1,10,31,0,0,32,4,7,0,1,2,1
382,2,69,33,1,9,52,4,9,0,1,3,2
383,1,23,20,0,1,15,3,0,0,1,1,2
384,1,53,31,0,10,46,3,6,0,0,2,2
385,2,60,57,1,14,107,2,33,0,1,2,4
386,2,33,33,0,7,56,2,11,0,0,1,1
387,3,67,40,1,21,40,4,7,0,1,4,2
388,3,15,38,1,5,56,3,13,0,0,3,1
389,3,64,31,1,5,46,2,7,0,1,4,2
390,2,46,49,1,13,51,2,21,0,0,2,3
391,2,72,60,1,33,12,1,20,1,0,3,3
392,1,61,43,1,6,34,5,6,0,0,3,4
393,3,54,27,0,3,27,2,6,0,1,5,1
394,3,28,36,0,3,42,3,7,0,1,1,1
395,2,28,38,0,8,119,5,2,0,0,3,4
396,2,32,43,0,13,146,1,27,0,1,1,3
397,2,52,46,0,17,51,2,13,0,1,3,1
398,1,48,62,0,33,86,1,22,1,1,1,3
399,3,52,42,1,17,27,3,8,0,1,2,2
400,1,37,43,0,8,38,3,9,0,0,1,1
401,1,41,52,0,26,928,3,29,0,0,3,3
402,2,43,27,1,3,21,2,1,0,1,3,3
403,3,67,60,0,24,24,1,6,0,1,1,1
404,3,61,52,1,30,91,1,25,0,1,2,3
405,3,70,39,1,20,38,2,8,0,1,4,1
406,3,44,32,1,1,96,4,5,0,1,4,2
407,3,46,45,0,12,96,3,17,0,0,1,1
408,3,39,34,0,2,54,3,5,0,0,1,1
409,2,39,59,0,20,1668,4,27,0,1,1,3
410,2,50,29,1,10,53,4,0,0,1,4,2
411,3,5,31,0,1,21,3,1,0,1,2,1
412,2,10,34,0,1,52,5,3,0,1,1,4
413,1,72,69,0,45,17,3,36,1,1,1,3
414,2,68,60,0,40,262,2,39,0,1,1,3
415,3,58,28,0,5,34,5,1,0,1,1,2
416,3,18,44,1,10,107,1,19,0,1,7,1
417,1,65,45,1,25,67,5,13,0,1,2,2
418,3,8,45,0,1,37,4,0,0,0,1,1
419,2,1,20,0,1,21,2,0,0,1,2,1
420,3,42,58,0,7,22,1,4,0,1,1,1
421,1,4,25,1,3,71,3,3,0,1,5,1
422,3,17,35,0,4,77,3,8,0,1,1,1
423,2,8,24,1,1,18,4,0,0,1,5,1
424,1,49,37,1,17,50,2,12,0,1,2,1
425,1,56,46,1,21,33,4,7,0,0,2,2
426,1,62,57,1,21,94,1,22,0,0,2,3
427,2,42,57,1,25,209,1,40,0,1,4,3
428,1,13,32,0,7,31,4,5,0,0,2,1
429,1,69,46,1,18,66,2,19,0,0,4,2
430,2,45,59,0,14,51,1,15,0,0,2,3
431,2,66,42,1,18,118,2,20,0,0,2,2
432,2,15,35,0,10,25,2,3,0,0,1,1
433,1,41,44,1,1,59,3,21,0,1,3,3
434,2,11,20,0,1,20,2,0,0,1,1,1
435,3,45,30,1,0,63,5,4,0,0,4,4
436,1,52,62,0,23,36,4,17,0,0,1,3
437,1,42,56,0,24,72,4,18,0,1,1,2
438,2,48,35,0,11,50,1,16,0,0,3,3
439,3,4,31,0,5,39,2,5,0,0,2,1
440,3,53,64,1,10,54,2,20,0,1,2,1
441,3,1,59,0,4,9,1,4,1,0,1,1
442,3,19,30,1,10,33,4,1,0,0,3,4
443,2,33,30,0,11,28,1,9,0,0,1,1
444,3,42,36,1,14,44,2,11,0,0,3,3
445,1,60,32,0,12,34,4,4,0,1,2,2
446,2,57,51,1,7,68,4,18,0,1,3,4
447,1,64,39,0,5,37,1,9,0,0,1,3
448,2,28,20,1,1,18,3,0,0,0,3,1
449,1,29,35,1,10,55,2,7,0,0,4,3
450,1,46,31,1,12,21,1,5,0,0,5,1
451,1,22,41,1,9,29,3,11,0,0,4,3
452,2,10,56,0,26,9,2,6,1,0,2,3
453,3,50,41,0,16,138,2,18,0,1,1,3
454,1,55,65,0,34,28,4,12,1,1,1,3
455,2,15,54,0,7,62,1,11,0,0,1,1
456,1,31,32,1,13,37,3,8,0,1,3,3
457,3,5,44,0,5,83,1,16,0,1,1,1
458,2,69,63,0,28,168,1,43,0,1,2,3
459,2,26,27,1,4,33,4,1,0,0,6,4
460,3,10,33,1,2,66,3,9,0,1,4,1
461,1,26,30,0,9,18,4,1,0,0,3,4
462,3,25,30,0,0,20,1,4,0,1,1,1
463,3,30,23,1,4,19,3,1,0,0,4,1
464,1,21,39,1,7,25,2,1,0,0,4,3
465,1,71,46,0,27,119,5,7,0,1,1,2
466,3,11,48,1,5,323,4,25,0,0,4,3
467,1,24,30,1,7,45,1,11,0,1,2,1
468,1,65,59,1,27,197,4,26,0,0,2,2
469,1,16,34,1,13,56,3,10,0,1,3,3
470,3,37,51,1,26,24,4,4,0,0,2,4
471,1,5,30,0,4,25,3,6,0,0,1,1
472,1,3,55,1,9,26,5,0,0,1,2,4
473,1,5,32,0,6,33,4,3,0,0,2,1
474,1,60,44,1,4,150,2,24,0,0,2,2
475,2,19,37,1,4,99,2,15,0,1,3,1
476,3,54,40,0,19,50,4,12,0,1,2,4
477,2,25,41,0,3,81,3,20,0,1,4,2
478,2,1,36,0,6,21,1,1,0,0,2,1
479,3,54,68,0,7,273,3,27,0,1,1,3
480,1,14,31,1,9,39,3,4,0,1,7,1
481,3,14,28,1,7,17,2,3,0,0,4,3
482,2,10,45,1,8,115,3,17,0,1,4,1
483,1,7,23,0,3,27,2,1,0,1,3,3
484,2,33,45,0,24,35,1,6,0,0,1,1
485,1,3,23,0,2,20,2,4,0,0,1,1
486,2,56,58,1,3,92,1,25,0,0,3,3
487,2,54,56,0,8,207,2,35,0,1,1,3
488,1,72,55,1,28,40,1,11,0,0,5,3
489,1,18,29,0,4,40,2,1,0,0,1,1
490,3,25,29,0,9,55,4,1,0,0,1,1
491,1,42,62,0,26,26,1,35,1,1,1,3
492,3,4,37,0,2,41,2,8,0,0,1,1
493,2,12,50,1,16,203,4,25,0,0,2,3
494,2,53,64,1,17,380,2,36,0,1,2,3
495,2,13,38,1,8,104,4,6,0,0,7,4
496,3,18,31,1,12,24,3,4,0,0,4,1
497,3,67,42,1,20,81,3,20,0,1,5,4
498,2,6,24,0,2,17,1,1,0,0,1,1
499,1,25,46,0,13,45,1,12,0,1,1,1
